Ref_Date,GEO,AGE,SEX,UNIT,Value
1991,Newfoundland and Labrador,At birth,Both sexes,Life expectancy,76.7
1992,Newfoundland and Labrador,At birth,Both sexes,Life expectancy,76.9
1993,Newfoundland and Labrador,At birth,Both sexes,Life expectancy,76.8
1994,Newfoundland and Labrador,At birth,Both sexes,Life expectancy,76.6
1995,Newfoundland and Labrador,At birth,Both sexes,Life expectancy,77.2
1996,Newfoundland and Labrador,At birth,Both sexes,Life expectancy,77.5
1997,Newfoundland and Labrador,At birth,Both sexes,Life expectancy,76.9
1998,Newfoundland and Labrador,At birth,Both sexes,Life expectancy,77.3
1999,Newfoundland and Labrador,At birth,Both sexes,Life expectancy,77.6
2000,Newfoundland and Labrador,At birth,Both sexes,Life expectancy,77.3
2001,Newfoundland and Labrador,At birth,Both sexes,Life expectancy,78.1
2002,Newfoundland and Labrador,At birth,Both sexes,Life expectancy,78.3
2003,Newfoundland and Labrador,At birth,Both sexes,Life expectancy,78.2
2004,Newfoundland and Labrador,At birth,Both sexes,Life expectancy,78.5
2005,Newfoundland and Labrador,At birth,Both sexes,Life expectancy,78.2
2006,Newfoundland and Labrador,At birth,Both sexes,Life expectancy,78.2
1991,Prince Edward Island,At birth,Both sexes,Life expectancy,76.4
1992,Prince Edward Island,At birth,Both sexes,Life expectancy,77.5
1993,Prince Edward Island,At birth,Both sexes,Life expectancy,77.1
1994,Prince Edward Island,At birth,Both sexes,Life expectancy,78.0
1995,Prince Edward Island,At birth,Both sexes,Life expectancy,77.4
1996,Prince Edward Island,At birth,Both sexes,Life expectancy,77.2
1997,Prince Edward Island,At birth,Both sexes,Life expectancy,79.4
1998,Prince Edward Island,At birth,Both sexes,Life expectancy,77.4
1999,Prince Edward Island,At birth,Both sexes,Life expectancy,78.5
2000,Prince Edward Island,At birth,Both sexes,Life expectancy,78.2
2001,Prince Edward Island,At birth,Both sexes,Life expectancy,78.9
2002,Prince Edward Island,At birth,Both sexes,Life expectancy,78.8
2003,Prince Edward Island,At birth,Both sexes,Life expectancy,79.1
2004,Prince Edward Island,At birth,Both sexes,Life expectancy,79.2
2005,Prince Edward Island,At birth,Both sexes,Life expectancy,79.8
2006,Prince Edward Island,At birth,Both sexes,Life expectancy,79.9
1991,Nova Scotia,At birth,Both sexes,Life expectancy,77.3
1992,Nova Scotia,At birth,Both sexes,Life expectancy,77.1
1993,Nova Scotia,At birth,Both sexes,Life expectancy,77.4
1994,Nova Scotia,At birth,Both sexes,Life expectancy,77.2
1995,Nova Scotia,At birth,Both sexes,Life expectancy,77.8
1996,Nova Scotia,At birth,Both sexes,Life expectancy,77.7
1997,Nova Scotia,At birth,Both sexes,Life expectancy,77.8
1998,Nova Scotia,At birth,Both sexes,Life expectancy,77.8
1999,Nova Scotia,At birth,Both sexes,Life expectancy,78.8
2000,Nova Scotia,At birth,Both sexes,Life expectancy,78.6
2001,Nova Scotia,At birth,Both sexes,Life expectancy,78.9
2002,Nova Scotia,At birth,Both sexes,Life expectancy,79.0
2003,Nova Scotia,At birth,Both sexes,Life expectancy,79.1
2004,Nova Scotia,At birth,Both sexes,Life expectancy,79.1
2005,Nova Scotia,At birth,Both sexes,Life expectancy,79.3
2006,Nova Scotia,At birth,Both sexes,Life expectancy,79.6
1991,New Brunswick,At birth,Both sexes,Life expectancy,77.7
1992,New Brunswick,At birth,Both sexes,Life expectancy,77.6
1993,New Brunswick,At birth,Both sexes,Life expectancy,77.5
1994,New Brunswick,At birth,Both sexes,Life expectancy,77.6
1995,New Brunswick,At birth,Both sexes,Life expectancy,77.7
1996,New Brunswick,At birth,Both sexes,Life expectancy,78.1
1997,New Brunswick,At birth,Both sexes,Life expectancy,78.2
1998,New Brunswick,At birth,Both sexes,Life expectancy,78.0
1999,New Brunswick,At birth,Both sexes,Life expectancy,78.4
2000,New Brunswick,At birth,Both sexes,Life expectancy,78.8
2001,New Brunswick,At birth,Both sexes,Life expectancy,79.0
2002,New Brunswick,At birth,Both sexes,Life expectancy,79.3
2003,New Brunswick,At birth,Both sexes,Life expectancy,79.2
2004,New Brunswick,At birth,Both sexes,Life expectancy,79.7
2005,New Brunswick,At birth,Both sexes,Life expectancy,79.8
2006,New Brunswick,At birth,Both sexes,Life expectancy,80.1
1991,Quebec,At birth,Both sexes,Life expectancy,77.3
1992,Quebec,At birth,Both sexes,Life expectancy,77.7
1993,Quebec,At birth,Both sexes,Life expectancy,77.4
1994,Quebec,At birth,Both sexes,Life expectancy,77.7
1995,Quebec,At birth,Both sexes,Life expectancy,77.6
1996,Quebec,At birth,Both sexes,Life expectancy,78.1
1997,Quebec,At birth,Both sexes,Life expectancy,78.0
1998,Quebec,At birth,Both sexes,Life expectancy,78.3
1999,Quebec,At birth,Both sexes,Life expectancy,78.5
2000,Quebec,At birth,Both sexes,Life expectancy,79.2
2001,Quebec,At birth,Both sexes,Life expectancy,79.4
2002,Quebec,At birth,Both sexes,Life expectancy,79.4
2003,Quebec,At birth,Both sexes,Life expectancy,79.9
2004,Quebec,At birth,Both sexes,Life expectancy,80.1
2005,Quebec,At birth,Both sexes,Life expectancy,80.4
2006,Quebec,At birth,Both sexes,Life expectancy,80.9
1991,Ontario,At birth,Both sexes,Life expectancy,78.0
1992,Ontario,At birth,Both sexes,Life expectancy,78.2
1993,Ontario,At birth,Both sexes,Life expectancy,78.1
1994,Ontario,At birth,Both sexes,Life expectancy,78.2
1995,Ontario,At birth,Both sexes,Life expectancy,78.4
1996,Ontario,At birth,Both sexes,Life expectancy,78.6
1997,Ontario,At birth,Both sexes,Life expectancy,78.9
1998,Ontario,At birth,Both sexes,Life expectancy,79.2
1999,Ontario,At birth,Both sexes,Life expectancy,79.3
2000,Ontario,At birth,Both sexes,Life expectancy,79.5
2001,Ontario,At birth,Both sexes,Life expectancy,79.9
2002,Ontario,At birth,Both sexes,Life expectancy,80.1
2003,Ontario,At birth,Both sexes,Life expectancy,80.2
2004,Ontario,At birth,Both sexes,Life expectancy,80.6
2005,Ontario,At birth,Both sexes,Life expectancy,80.7
2006,Ontario,At birth,Both sexes,Life expectancy,81.1
1991,Manitoba,At birth,Both sexes,Life expectancy,77.6
1992,Manitoba,At birth,Both sexes,Life expectancy,77.9
1993,Manitoba,At birth,Both sexes,Life expectancy,77.6
1994,Manitoba,At birth,Both sexes,Life expectancy,77.9
1995,Manitoba,At birth,Both sexes,Life expectancy,77.6
1996,Manitoba,At birth,Both sexes,Life expectancy,78.1
1997,Manitoba,At birth,Both sexes,Life expectancy,78.1
1998,Manitoba,At birth,Both sexes,Life expectancy,78.0
1999,Manitoba,At birth,Both sexes,Life expectancy,78.0
2000,Manitoba,At birth,Both sexes,Life expectancy,78.1
2001,Manitoba,At birth,Both sexes,Life expectancy,78.6
2002,Manitoba,At birth,Both sexes,Life expectancy,78.7
2003,Manitoba,At birth,Both sexes,Life expectancy,78.7
2004,Manitoba,At birth,Both sexes,Life expectancy,78.9
2005,Manitoba,At birth,Both sexes,Life expectancy,79.0
2006,Manitoba,At birth,Both sexes,Life expectancy,79.3
1991,Saskatchewan,At birth,Both sexes,Life expectancy,78.1
1992,Saskatchewan,At birth,Both sexes,Life expectancy,78.9
1993,Saskatchewan,At birth,Both sexes,Life expectancy,78.5
1994,Saskatchewan,At birth,Both sexes,Life expectancy,78.4
1995,Saskatchewan,At birth,Both sexes,Life expectancy,78.1
1996,Saskatchewan,At birth,Both sexes,Life expectancy,78.3
1997,Saskatchewan,At birth,Both sexes,Life expectancy,78.5
1998,Saskatchewan,At birth,Both sexes,Life expectancy,78.5
1999,Saskatchewan,At birth,Both sexes,Life expectancy,78.5
2000,Saskatchewan,At birth,Both sexes,Life expectancy,78.6
2001,Saskatchewan,At birth,Both sexes,Life expectancy,79.2
2002,Saskatchewan,At birth,Both sexes,Life expectancy,79.1
2003,Saskatchewan,At birth,Both sexes,Life expectancy,79.1
2004,Saskatchewan,At birth,Both sexes,Life expectancy,79.3
2005,Saskatchewan,At birth,Both sexes,Life expectancy,79.3
2006,Saskatchewan,At birth,Both sexes,Life expectancy,79.4
1991,Alberta,At birth,Both sexes,Life expectancy,78.1
1992,Alberta,At birth,Both sexes,Life expectancy,78.3
1993,Alberta,At birth,Both sexes,Life expectancy,78.2
1994,Alberta,At birth,Both sexes,Life expectancy,78.3
1995,Alberta,At birth,Both sexes,Life expectancy,78.5
1996,Alberta,At birth,Both sexes,Life expectancy,78.5
1997,Alberta,At birth,Both sexes,Life expectancy,78.9
1998,Alberta,At birth,Both sexes,Life expectancy,79.1
1999,Alberta,At birth,Both sexes,Life expectancy,79.2
2000,Alberta,At birth,Both sexes,Life expectancy,79.5
2001,Alberta,At birth,Both sexes,Life expectancy,79.7
2002,Alberta,At birth,Both sexes,Life expectancy,79.7
2003,Alberta,At birth,Both sexes,Life expectancy,79.9
2004,Alberta,At birth,Both sexes,Life expectancy,80.2
2005,Alberta,At birth,Both sexes,Life expectancy,80.3
2006,Alberta,At birth,Both sexes,Life expectancy,80.5
1991,British Columbia,At birth,Both sexes,Life expectancy,78.4
1992,British Columbia,At birth,Both sexes,Life expectancy,78.4
1993,British Columbia,At birth,Both sexes,Life expectancy,78.3
1994,British Columbia,At birth,Both sexes,Life expectancy,78.6
1995,British Columbia,At birth,Both sexes,Life expectancy,78.9
1996,British Columbia,At birth,Both sexes,Life expectancy,78.9
