Ref_Date,GEO,PRI,EST,Value
1991,Newfoundland and Labrador,Current prices,Health,166.2
1992,Newfoundland and Labrador,Current prices,Health,176.6
1993,Newfoundland and Labrador,Current prices,Health,186.4
1994,Newfoundland and Labrador,Current prices,Health,187.1
1995,Newfoundland and Labrador,Current prices,Health,199.9
1996,Newfoundland and Labrador,Current prices,Health,173.8
1997,Newfoundland and Labrador,Current prices,Health,183.8
1998,Newfoundland and Labrador,Current prices,Health,200.8
1999,Newfoundland and Labrador,Current prices,Health,224.1
2000,Newfoundland and Labrador,Current prices,Health,251.0
2001,Newfoundland and Labrador,Current prices,Health,274.1
2002,Newfoundland and Labrador,Current prices,Health,294.9
2003,Newfoundland and Labrador,Current prices,Health,319.9
2004,Newfoundland and Labrador,Current prices,Health,342.7
2005,Newfoundland and Labrador,Current prices,Health,361.3
2006,Newfoundland and Labrador,Current prices,Health,392.6
1991,Prince Edward Island,Current prices,Health,58.0
1992,Prince Edward Island,Current prices,Health,61.6
1993,Prince Edward Island,Current prices,Health,66.2
1994,Prince Edward Island,Current prices,Health,66.3
1995,Prince Edward Island,Current prices,Health,73.3
1996,Prince Edward Island,Current prices,Health,65.8
1997,Prince Edward Island,Current prices,Health,64.0
1998,Prince Edward Island,Current prices,Health,67.9
1999,Prince Edward Island,Current prices,Health,69.4
2000,Prince Edward Island,Current prices,Health,74.2
2001,Prince Edward Island,Current prices,Health,81.4
2002,Prince Edward Island,Current prices,Health,86.5
2003,Prince Edward Island,Current prices,Health,94.0
2004,Prince Edward Island,Current prices,Health,98.3
2005,Prince Edward Island,Current prices,Health,103.1
2006,Prince Edward Island,Current prices,Health,111.2
1991,Nova Scotia,Current prices,Health,303.1
1992,Nova Scotia,Current prices,Health,321.7
1993,Nova Scotia,Current prices,Health,342.5
1994,Nova Scotia,Current prices,Health,347.5
1995,Nova Scotia,Current prices,Health,374.2
1996,Nova Scotia,Current prices,Health,345.0
1997,Nova Scotia,Current prices,Health,414.0
1998,Nova Scotia,Current prices,Health,442.7
1999,Nova Scotia,Current prices,Health,479.7
2000,Nova Scotia,Current prices,Health,523.9
2001,Nova Scotia,Current prices,Health,561.3
2002,Nova Scotia,Current prices,Health,617.3
2003,Nova Scotia,Current prices,Health,669.1
2004,Nova Scotia,Current prices,Health,718.5
2005,Nova Scotia,Current prices,Health,775.9
2006,Nova Scotia,Current prices,Health,850.1
1991,New Brunswick,Current prices,Health,225.4
1992,New Brunswick,Current prices,Health,235.2
1993,New Brunswick,Current prices,Health,251.3
1994,New Brunswick,Current prices,Health,254.7
1995,New Brunswick,Current prices,Health,278.6
1996,New Brunswick,Current prices,Health,273.5
1997,New Brunswick,Current prices,Health,328.6
1998,New Brunswick,Current prices,Health,357.8
1999,New Brunswick,Current prices,Health,387.6
2000,New Brunswick,Current prices,Health,426.2
2001,New Brunswick,Current prices,Health,474.5
2002,New Brunswick,Current prices,Health,511.0
2003,New Brunswick,Current prices,Health,549.0
2004,New Brunswick,Current prices,Health,590.4
2005,New Brunswick,Current prices,Health,632.7
2006,New Brunswick,Current prices,Health,693.4
1991,Quebec,Current prices,Health,2337.8
1992,Quebec,Current prices,Health,2411.0
1993,Quebec,Current prices,Health,2620.1
1994,Quebec,Current prices,Health,2648.2
1995,Quebec,Current prices,Health,2837.5
1996,Quebec,Current prices,Health,3135.2
1997,Quebec,Current prices,Health,3422.9
1998,Quebec,Current prices,Health,3693.8
1999,Quebec,Current prices,Health,4025.6
2000,Quebec,Current prices,Health,4298.9
2001,Quebec,Current prices,Health,4660.5
2002,Quebec,Current prices,Health,5031.7
2003,Quebec,Current prices,Health,5258.3
2004,Quebec,Current prices,Health,5632.3
2005,Quebec,Current prices,Health,6060.6
2006,Quebec,Current prices,Health,6595.4
1991,Ontario,Current prices,Health,4395.9
1992,Ontario,Current prices,Health,4585.0
1993,Ontario,Current prices,Health,4880.3
1994,Ontario,Current prices,Health,4934.7
1995,Ontario,Current prices,Health,5385.4
1996,Ontario,Current prices,Health,5599.6
1997,Ontario,Current prices,Health,6238.1
1998,Ontario,Current prices,Health,6798.4
1999,Ontario,Current prices,Health,7311.8
2000,Ontario,Current prices,Health,7954.5
2001,Ontario,Current prices,Health,8786.4
2002,Ontario,Current prices,Health,9654.2
2003,Ontario,Current prices,Health,10109.6
2004,Ontario,Current prices,Health,10858.6
2005,Ontario,Current prices,Health,11672.4
2006,Ontario,Current prices,Health,12547.2
1991,Manitoba,Current prices,Health,386.2
1992,Manitoba,Current prices,Health,401.2
1993,Manitoba,Current prices,Health,417.1
1994,Manitoba,Current prices,Health,423.6
1995,Manitoba,Current prices,Health,479.1
1996,Manitoba,Current prices,Health,478.0
1997,Manitoba,Current prices,Health,546.3
1998,Manitoba,Current prices,Health,610.9
1999,Manitoba,Current prices,Health,577.6
2000,Manitoba,Current prices,Health,631.3
2001,Manitoba,Current prices,Health,651.8
2002,Manitoba,Current prices,Health,719.2
2003,Manitoba,Current prices,Health,758.4
2004,Manitoba,Current prices,Health,823.8
2005,Manitoba,Current prices,Health,880.9
2006,Manitoba,Current prices,Health,924.7
1991,Saskatchewan,Current prices,Health,318.9
1992,Saskatchewan,Current prices,Health,339.3
1993,Saskatchewan,Current prices,Health,369.2
1994,Saskatchewan,Current prices,Health,383.1
1995,Saskatchewan,Current prices,Health,407.8
1996,Saskatchewan,Current prices,Health,432.4
1997,Saskatchewan,Current prices,Health,476.3
1998,Saskatchewan,Current prices,Health,491.0
