Ref_Date,GEO,SEX,AGE,Value
1991,Newfoundland and Labrador,Both sexes,All ages,579644
1992,Newfoundland and Labrador,Both sexes,All ages,580109
1993,Newfoundland and Labrador,Both sexes,All ages,579977
1994,Newfoundland and Labrador,Both sexes,All ages,574466
1995,Newfoundland and Labrador,Both sexes,All ages,567397
1996,Newfoundland and Labrador,Both sexes,All ages,559698
1997,Newfoundland and Labrador,Both sexes,All ages,550911
1998,Newfoundland and Labrador,Both sexes,All ages,539843
1999,Newfoundland and Labrador,Both sexes,All ages,533329
2000,Newfoundland and Labrador,Both sexes,All ages,527966
2001,Newfoundland and Labrador,Both sexes,All ages,522046
2002,Newfoundland and Labrador,Both sexes,All ages,519483
2003,Newfoundland and Labrador,Both sexes,All ages,518445
2004,Newfoundland and Labrador,Both sexes,All ages,517402
2005,Newfoundland and Labrador,Both sexes,All ages,514315
2006,Newfoundland and Labrador,Both sexes,All ages,510584
2007,Newfoundland and Labrador,Both sexes,All ages,509039
2008,Newfoundland and Labrador,Both sexes,All ages,511543
2009,Newfoundland and Labrador,Both sexes,All ages,516729
1991,Prince Edward Island,Both sexes,All ages,130369
1992,Prince Edward Island,Both sexes,All ages,130827
1993,Prince Edward Island,Both sexes,All ages,132177
1994,Prince Edward Island,Both sexes,All ages,133437
1995,Prince Edward Island,Both sexes,All ages,134415
1996,Prince Edward Island,Both sexes,All ages,135737
1997,Prince Edward Island,Both sexes,All ages,136095
1998,Prince Edward Island,Both sexes,All ages,135804
1999,Prince Edward Island,Both sexes,All ages,136281
2000,Prince Edward Island,Both sexes,All ages,136470
2001,Prince Edward Island,Both sexes,All ages,136665
2002,Prince Edward Island,Both sexes,All ages,136876
2003,Prince Edward Island,Both sexes,All ages,137221
2004,Prince Edward Island,Both sexes,All ages,137681
2005,Prince Edward Island,Both sexes,All ages,138064
2006,Prince Edward Island,Both sexes,All ages,137865
2007,Prince Edward Island,Both sexes,All ages,137721
2008,Prince Edward Island,Both sexes,All ages,138764
2009,Prince Edward Island,Both sexes,All ages,139909
1991,Nova Scotia,Both sexes,All ages,914969
1992,Nova Scotia,Both sexes,All ages,919451
1993,Nova Scotia,Both sexes,All ages,923925
1994,Nova Scotia,Both sexes,All ages,926871
1995,Nova Scotia,Both sexes,All ages,928120
1996,Nova Scotia,Both sexes,All ages,931327
1997,Nova Scotia,Both sexes,All ages,932402
1998,Nova Scotia,Both sexes,All ages,931836
1999,Nova Scotia,Both sexes,All ages,933784
2000,Nova Scotia,Both sexes,All ages,933821
2001,Nova Scotia,Both sexes,All ages,932491
2002,Nova Scotia,Both sexes,All ages,935155
2003,Nova Scotia,Both sexes,All ages,937676
2004,Nova Scotia,Both sexes,All ages,939612
2005,Nova Scotia,Both sexes,All ages,937899
2006,Nova Scotia,Both sexes,All ages,937869
2007,Nova Scotia,Both sexes,All ages,935071
2008,Nova Scotia,Both sexes,All ages,935865
2009,Nova Scotia,Both sexes,All ages,938194
1991,New Brunswick,Both sexes,All ages,745567
1992,New Brunswick,Both sexes,All ages,748121
1993,New Brunswick,Both sexes,All ages,748812
1994,New Brunswick,Both sexes,All ages,750185
1995,New Brunswick,Both sexes,All ages,750943
1996,New Brunswick,Both sexes,All ages,752268
1997,New Brunswick,Both sexes,All ages,752511
1998,New Brunswick,Both sexes,All ages,750530
1999,New Brunswick,Both sexes,All ages,750601
2000,New Brunswick,Both sexes,All ages,750517
2001,New Brunswick,Both sexes,All ages,749819
2002,New Brunswick,Both sexes,All ages,749379
2003,New Brunswick,Both sexes,All ages,749434
2004,New Brunswick,Both sexes,All ages,749408
2005,New Brunswick,Both sexes,All ages,748044
2006,New Brunswick,Both sexes,All ages,745609
2007,New Brunswick,Both sexes,All ages,745407
2008,New Brunswick,Both sexes,All ages,746855
2009,New Brunswick,Both sexes,All ages,749954
1991,Quebec,Both sexes,All ages,7067396
1992,Quebec,Both sexes,All ages,7110010
1993,Quebec,Both sexes,All ages,7156537
1994,Quebec,Both sexes,All ages,7192403
1995,Quebec,Both sexes,All ages,7219219
1996,Quebec,Both sexes,All ages,7246897
1997,Quebec,Both sexes,All ages,7274611
1998,Quebec,Both sexes,All ages,7295935
1999,Quebec,Both sexes,All ages,7323250
2000,Quebec,Both sexes,All ages,7356951
2001,Quebec,Both sexes,All ages,7396415
2002,Quebec,Both sexes,All ages,7441498
2003,Quebec,Both sexes,All ages,7485491
2004,Quebec,Both sexes,All ages,7535278
2005,Quebec,Both sexes,All ages,7581192
2006,Quebec,Both sexes,All ages,7631873
2007,Quebec,Both sexes,All ages,7692736
2008,Quebec,Both sexes,All ages,7761504
2009,Quebec,Both sexes,All ages,7843475
1991,Ontario,Both sexes,All ages,10431316
1992,Ontario,Both sexes,All ages,10572205
1993,Ontario,Both sexes,All ages,10690038
1994,Ontario,Both sexes,All ages,10819146
1995,Ontario,Both sexes,All ages,10950119
1996,Ontario,Both sexes,All ages,11082903
1997,Ontario,Both sexes,All ages,11227651
1998,Ontario,Both sexes,All ages,11365901
1999,Ontario,Both sexes,All ages,11504759
2000,Ontario,Both sexes,All ages,11683290
2001,Ontario,Both sexes,All ages,11897370
2002,Ontario,Both sexes,All ages,12093299
2003,Ontario,Both sexes,All ages,12243758
2004,Ontario,Both sexes,All ages,12390068
2005,Ontario,Both sexes,All ages,12527990
2006,Ontario,Both sexes,All ages,12661566
2007,Ontario,Both sexes,All ages,12764195
2008,Ontario,Both sexes,All ages,12882625
2009,Ontario,Both sexes,All ages,12997687
1991,Manitoba,Both sexes,All ages,1109604
1992,Manitoba,Both sexes,All ages,1112689
